name,mp_url,fraction,iskele
Valentinas Bukauskas,https://www.lrs.lt/sip/portal.show?p_r=35299&p_k=1&p_a=498&p_asm_id=47850,Darbo partijos  frakcija,Darbo partija
Viktoras Fiodorovas,https://www.lrs.lt/sip/portal.show?p_r=35299&p_k=1&p_a=498&p_asm_id=73571,Darbo partijos  frakcija,Darbo partija
Vytautas Gapšys,https://www.lrs.lt/sip/portal.show?p_r=35299&p_k=1&p_a=498&p_asm_id=47932,Darbo partijos  frakcija,Darbo partija
Aidas Gedvilas,https://www.lrs.lt/sip/portal.show?p_r=35299&p_k=1&p_a=498&p_asm_id=47855,Mišri Seimo narių grupė,Darbo partija
Vaida Giraitytė-Juškevičienė,https://www.lrs.lt/sip/portal.show?p_r=35299&p_k=1&p_a=498&p_asm_id=47909,Darbo partijos  frakcija,Darbo partija
Vigilijus Jukna,https://www.lrs.lt/sip/portal.show?p_r=35299&p_k=1&p_a=498&p_asm_id=73903,Lietuvos socialdemokratų partijos frakcija,Darbo partija
Ieva Kačinskaitė-Urbonienė,https://www.lrs.lt/sip/portal.show?p_r=35299&p_k=1&p_a=498&p_asm_id=75270,Darbo partijos  frakcija,Darbo partija
Andrius Mazuronis,https://www.lrs.lt/sip/portal.show?p_r=35299&p_k=1&p_a=498&p_asm_id=53932,Darbo partijos  frakcija,Darbo partija
Mindaugas Puidokas,https://www.lrs.lt/sip/portal.show?p_r=35299&p_k=1&p_a=498&p_asm_id=79142,Mišri Seimo narių grupė,Darbo partija
Artūras Skardžius,https://www.lrs.lt/sip/portal.show?p_r=35299&p_k=1&p_a=498&p_asm_id=47229,Mišri Seimo narių grupė,Darbo partija
Antanas Guoga,https://www.lrs.lt/sip/portal.show?p_r=35299&p_k=1&p_a=498&p_asm_id=84605,Kita,Darbo partija
Vytautas Bakas,https://www.lrs.lt/sip/portal.show?p_r=35299&p_k=1&p_a=498&p_asm_id=47890,Demokratų frakcija „Vardan Lietuvos“,Išsikėlė pats
Domas Griškevičius,https://www.lrs.lt/sip/portal.show?p_r=35299&p_k=1&p_a=498&p_asm_id=84604,Demokratų frakcija „Vardan Lietuvos“,Išsikėlė pats
Valdemaras Valkiūnas,https://www.lrs.lt/sip/portal.show?p_r=35299&p_k=1&p_a=498&p_asm_id=53907,Darbo partijos  frakcija,Išsikėlė pats
Antanas Vinkus,https://www.lrs.lt/sip/portal.show?p_r=35299&p_k=1&p_a=498&p_asm_id=272,Lietuvos valstiečių ir žaliųjų sąjungos frakcija,Išsikėlė pats
Petras Gražulis,https://www.lrs.lt/sip/portal.show?p_r=35299&p_k=1&p_a=498&p_asm_id=7199,Kita,Išsikėlė pats
Kasparas Adomaitis,https://www.lrs.lt/sip/portal.show?p_r=35299&p_k=1&p_a=498&p_asm_id=84598,Laisvės frakcija,Laisvės partija
Aušrinė Armonaitė,https://www.lrs.lt/sip/portal.show?p_r=35299&p_k=1&p_a=498&p_asm_id=79164,Laisvės frakcija,Laisvės partija
Morgana Danielė,https://www.lrs.lt/sip/portal.show?p_r=35299&p_k=1&p_a=498&p_asm_id=84602,Laisvės frakcija,Laisvės partija
Ewelina Dobrowolska,https://www.lrs.lt/sip/portal.show?p_r=35299&p_k=1&p_a=498&p_asm_id=84603,Laisvės frakcija,Laisvės partija
Silva Lengvinienė,https://www.lrs.lt/sip/portal.show?p_r=35299&p_k=1&p_a=498&p_asm_id=38801,Demokratų frakcija „Vardan Lietuvos“,Laisvės partija
Marius Matijošaitis,https://www.lrs.lt/sip/portal.show?p_r=35299&p_k=1&p_a=498&p_asm_id=84609,Laisvės frakcija,Laisvės partija
Vytautas Mitalas,https://www.lrs.lt/sip/portal.show?p_r=35299&p_k=1&p_a=498&p_asm_id=73919,Laisvės frakcija,Laisvės partija
Monika Ošmianskienė,https://www.lrs.lt/sip/portal.show?p_r=35299&p_k=1&p_a=498&p_asm_id=84611,Laisvės frakcija,Laisvės partija
Ieva Pakarklytė,https://www.lrs.lt/sip/portal.show?p_r=35299&p_k=1&p_a=498&p_asm_id=73739,Laisvės frakcija,Laisvės partija
Tomas Vytautas Raskevičius,https://www.lrs.lt/sip/portal.show?p_r=35299&p_k=1&p_a=498&p_asm_id=84617,Laisvės frakcija,Laisvės partija
Artūras Žukauskas,https://www.lrs.lt/sip/portal.show?p_r=35299&p_k=1&p_a=498&p_asm_id=84628,Laisvės frakcija,Laisvės partija
Rita Tamašunienė,https://www.lrs.lt/sip/portal.show?p_r=35299&p_k=1&p_a=498&p_asm_id=73586,Mišri Seimo narių grupė,Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga
Česlav Olševski,https://www.lrs.lt/sip/portal.show?p_r=35299&p_k=1&p_a=498&p_asm_id=79137,Mišri Seimo narių grupė,Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga
